,runoff,soil_moisture,prism,chirps,persiann,trmm,daymet,modis,gmet_eto,gmet_etr,fldas,terraclimate,p_mean,et_mean,q_in,q_out,res_s,c2v_s,ds
2001-01-31,0.3387077864468079,3.7752803032035898,4.648649562244331,5.138611468440665,5.878214189163155,5.232827579057373,5.3109739929017366,1.5375055603214056,1.8310872357326164,2.661275192981825,1.0731369640806734,1.7817194044604738,5.241855358361453,1.7769448715153993,0.7584354341342209,0.9259512333600001,1.26727488504,5650.451345800189,5650.451345800189
2001-02-28,0.8422790985366589,5.617042084396976,5.235038146769199,5.226746449665729,6.747654099698244,6.335717767033925,6.021914603814446,1.4781570260012171,2.5066574493083977,3.500802272102937,1.4528288287570423,2.231485224854789,5.913414213396308,2.2339861602048763,0.910203385042944,0.9341551088400001,1.3605777791999998,5651.421294929377,1.7204116540409893
2001-03-31,0.2417015795712,4.870328855938309,2.4914634081208327,3.67222931924989,3.5136282447791523,2.6544423766018057,2.8526596398082464,2.5679669896914827,5.077706962200187,6.664522159793764,2.65395276529338,2.8331320976524554,3.0368845977119854,3.959456194926254,1.073602410354893,1.0697540322,1.51198374876,5651.9631164100165,-0.3234159601607094
2001-04-30,0.19230148746139608,4.025034337156718,1.8785398324258038,2.1058207323426887,2.8056181260232225,2.4632598018477583,2.1585808816161167,1.9414023544386263,6.17701836433963,8.027977843447696,2.557924325317042,3.0430039769140205,2.282363874851118,4.3494653728914034,1.069571585912832,1.3972676418,1.69003288632,5651.730711027027,-1.7275521727058627
2001-05-31,0.015433545173835295,2.663451478546473,0.011473368149719918,0.33141704858943916,0.13869985597939155,0.04740647805837661,0.012994951561714707,2.227202611099207,11.745110075386664,16.009651827013855,2.6392329126307406,1.4253359339636456,0.10839834046772841,6.809306672018822,1.344885453412762,1.55042145252,1.73820028032,5650.261744780242,-5.593028866048087
2001-06-30,0.010777923387231374,1.913040841946052,0.17927969206613692,0.23647995075689718,0.3388277262937319,0.21594675558266424,0.22993912975889114,1.0287901139831468,11.815112241360888,16.120874509131507,1.5912227876751888,0.9442030049870307,0.2400946508916643,6.300040531427553,1.5257151264503808,2.113783839,1.49301282636,5648.9975210019,-5.652416502525087
2001-07-31,0.0011013227459764708,1.5012270373703278,0.032283854298356306,0.06465619025295427,0.09683366176833647,0.044152933120081284,0.03922858141746116,1.9851336444040533,11.84280230036627,15.726562630033982,1.038857305431626,0.44011309504431695,0.05543104417143789,6.20669379505605,1.6622091558254597,1.05705288864,1.2093259946400001,5647.184847577099,-4.850605847403428
2001-08-31,0.0,1.2542477430615342,2.254596539551679e-06,0.08446638746139008,0.022726823094301702,0.005688082535024079,0.0006777306324000002,1.2785817956396175,11.151523011524015,15.218112057762616,0.5588668897505685,0.2524398119092706,0.02271225566393108,5.691904713317217,1.2595530022410242,0.8549188206,1.09249693644,5645.004876148353,-4.900749923503467
2001-09-30,0.014451208995137257,1.0822917777492331,0.24081896810922085,0.472557861071088,0.27660549264560896,0.2410774001258873,0.2662958248221966,1.1897391633733274,8.38545683562485,11.670030956838929,0.3603064055703903,0.48163175900782434,0.29947110935480037,4.417433024083064,0.8713213450242049,0.9757690236,0.94318418244,5642.899364745437,-3.9011408739917584
2001-10-31,0.04100544265436863,0.9621876192239938,0.6170529737740573,1.2202964624930157,0.9081241999609859,0.7639821275989529,0.8281147697086171,0.7488589207716644,5.904667934248246,8.627705560504378,0.2916367911418481,0.8535986523633946,0.8675141067071259,3.285293571805906,0.6858098637944832,1.19554308912,0.8294388242399999,5642.57206014971,-2.6936631736990577
2001-11-30,0.35971012393562357,3.512867310554654,4.363547010849984,5.339245125003562,5.905816734417243,5.077498949503109,5.324957675296969,1.0999457118392721,2.3161035452845486,3.255702604330936,0.9585910021830697,2.385357288774476,5.202213099014173,2.0031400304824603,0.5766890307480577,1.0616525355600002,0.79246896168,5643.072920010994,0.20039973494911
2001-12-31,2.6578759165791372,6.491724283692374,6.545311381039224,7.3110234251008155,8.670162558741561,7.7018252746539195,7.831269749371838,0.9578190504903781,1.4992024965537176,2.1494432244401525,0.9449236830684788,1.6352280001752852,7.611918477781472,1.4373232909456024,1.1280169011197954,0.9554042688,0.9779744858399999,5644.229574138605,3.182845321857945
2002-01-31,1.0489745436471218,6.63129075224054,2.56647615652532,3.3213936381428333,3.2321421191662316,2.9521013459779,3.0701586131556393,1.1141781023141648,1.7095364480263924,2.4162709398181867,1.0650974607761206,1.2623880156465195,3.028454374593585,1.5134941933162767,1.4429973996592131,0.66284871588,1.2097515452399998,5645.2604933660205,1.9237653371083556
2002-02-28,0.14753632290936472,6.256499840372255,1.3323048045474588,1.8655351685141472,1.959200978897731,1.5600200781705749,1.5114774957561816,1.5920357645227672,2.7937491517560082,3.8442062186494828,1.5369557257761806,1.4761701575322606,1.6457077051772184,2.2486234036473403,0.8384575528903682,0.9316560783600001,1.35758782368,5645.8035911868565,-0.46915959051146916
2002-03-31,0.2724727845586824,5.730816267427439,2.271818024912792,3.060439591167911,3.0772452646866935,2.6109586078437417,2.6105343698933163,2.1316233372941054,4.789007186637566,6.426269829241601,2.2272554826502216,2.4830186094937354,2.726199171700891,3.611434889063446,1.2453981425206269,2.29869112536,1.6509710416799999,5646.23875505761,-1.7062283452571119
2002-04-30,0.07196775488652549,4.234703470905625,0.5636293970332584,0.9952921303791474,1.0503501967970326,0.8287499663388095,0.6536236916261134,1.9003385257767156,6.419399378289761,8.34144009193355,2.412883721486426,2.127558687405478,0.8183290764348724,4.240324080978387,1.2807795301456897,3.5159928016800004,1.80908220852,5645.782901715408,-4.319206646396011
2002-05-31,0.046325394512313725,3.05093894541794,0.8527306337083995,0.7689779392992573,1.0512724818273607,1.0409697013189072,0.9742830089369466,2.2656735195328754,9.809249611077075,12.961876158627673,2.144809104359899,2.076745968992979,0.9376467530181744,5.851670872518101,1.4193907735827456,1.3035354966,1.90931109288,5644.283097251442,-3.7146332013894954
2002-06-30,0.0012315131904,2.056577152597133,0.0734609959965727,0.14608245034851117,0.08213354045762655,0.0559666561847956,0.030697723037473527,2.1152132527634073,11.820723271113142,15.8931715524607,1.781781952501478,1.0245137649840692,0.07766827320499592,6.527080758764559,1.5157738500645888,1.70688715704,1.7755488212400001,5642.972353611367,-5.512401728074169
