Year,Mo,Date,SAC,YOLO,CSMR,MOKE,MISC,SJR,EAST,TOT,CCC,SWP,CVP,NBAQ,EXPORTS,GCD,PREC,MISDV,CD,XGEO,WEST,RIO,OUT,EXPIN,DIVER,EFFEC,EFFDIV,X2
1998,10,01OCT1998,22900,223,87,133,282,6710,7212,30335,139,4971,4269,27,9407,2111,0,0,2111,3875,307,18657,18817,0.3,38,23625,20,68.66,
1998,10,02OCT1998,22200,220,80,149,332,6850,7411,29831,156,4943,4246,28,9374,2070,0,0,2070,3782,474,18059,18388,0.31,38,22981,20,68.7,
1998,10,03OCT1998,21500,220,76,156,343,6790,7365,29085,314,5103,4222,32,9671,2000,0,0,2000,3689,83,17472,17415,0.32,40,22295,22,68.78,
1998,10,04OCT1998,20300,227,75,124,300,6530,7029,27556,330,6300,4197,24,10851,2010,0,0,2010,3529,-1599,16435,14695,0.38,47,21026,30,68.96,
1998,10,05OCT1998,20000,237,71,126,309,6460,6966,27203,320,5151,4207,34,9712,1979,0,0,1979,3489,-544,16194,15512,0.34,43,20743,25,69.09,
1998,10,06OCT1998,19000,265,69,134,276,6410,6889,26154,339,5108,4208,33,9688,1974,0,0,1974,3356,-727,15356,14491,0.36,45,19744,27,69.27,
1998,10,07OCT1998,18200,271,67,132,261,6360,6820,25291,347,5029,4225,47,9648,1936,0,0,1936,3250,-837,14679,13707,0.37,46,18931,28,69.46,
1998,10,08OCT1998,18000,270,65,133,213,6460,6871,25141,342,4886,4202,34,9465,1939,0,0,1939,3223,-631,14504,13737,0.36,45,18681,26,69.65,
1998,10,09OCT1998,16800,249,61,134,198,6870,7263,24312,359,4943,4209,38,9549,1943,0,0,1943,3063,-486,13441,12820,0.38,47,17442,27,69.87,
1998,10,10OCT1998,16300,226,61,134,186,6950,7331,23857,356,4430,4198,38,9022,1900,0,0,1900,2997,71,12997,12935,0.36,46,16907,23,70.07,
1998,10,11OCT1998,15800,221,61,136,199,6970,7366,23387,340,5186,4186,39,9750,1887,0,0,1887,2930,-681,12562,11749,0.4,50,16417,28,70.33,
1998,10,12OCT1998,15500,215,61,139,246,7230,7676,23391,320,4631,4089,34,9073,1887,0,0,1887,2891,267,12296,12430,0.37,47,16161,23,70.53,
1998,10,13OCT1998,15100,215,61,140,212,7330,7743,23058,319,4727,4153,26,9226,1885,0,0,1885,2837,130,11950,11948,0.38,48,15728,24,70.75,
1998,10,14OCT1998,14400,218,61,142,284,7100,7587,22205,320,4740,4219,28,9308,1815,0,0,1815,2744,-156,11366,11083,0.4,50,15105,27,71.0,
1998,10,15OCT1998,14100,208,61,139,363,6990,7553,21861,356,4962,4237,39,9594,1827,0,0,1827,2704,-525,11092,10439,0.42,52,14871,30,71.28,
1998,10,16OCT1998,13900,203,60,147,351,6880,7438,21541,366,4564,4158,33,9121,1836,0,0,1836,2678,-199,10911,10584,0.4,51,14661,28,71.54,
1998,10,17OCT1998,13500,190,60,150,467,6670,7347,21037,368,5096,4101,38,9604,1840,0,0,1840,2625,-828,10550,9593,0.44,54,14367,33,71.84,
1998,10,18OCT1998,13300,189,59,149,529,6300,7037,20526,370,6116,4094,42,10622,1800,0,0,1800,2598,-2157,10387,8104,0.5,61,14226,43,72.24,
1998,10,19OCT1998,13100,186,58,149,572,5830,6609,19895,372,5091,4112,40,9615,1784,0,0,1784,2571,-1594,10215,8496,0.46,57,14065,40,72.58,
1998,10,20OCT1998,13100,210,58,149,505,5400,6112,19422,368,5072,4121,34,9595,1769,0,0,1769,2571,-2061,10243,8059,0.47,59,14022,43,72.94,
1998,10,21OCT1998,12900,227,57,147,440,5080,5724,18851,365,4959,4115,42,9481,1774,0,0,1774,2545,-2365,10086,7596,0.48,60,13771,45,73.32,
1998,10,22OCT1998,12700,240,55,146,311,4800,5312,18252,356,5056,4120,47,9578,1775,0,0,1775,2518,-2902,9925,6899,0.5,62,13452,49,73.74,
1998,10,23OCT1998,12700,248,55,148,373,4740,5316,18264,362,4673,4131,33,9199,1745,0,0,1745,2518,-2499,9941,7320,0.48,60,13524,46,74.1,
1998,10,24OCT1998,13000,209,59,206,511,4870,5646,18855,362,4442,3969,28,8801,1745,4814,0,-3069,2558,1397,11510,13122,0.45,30,13985,6,74.06,
1998,10,25OCT1998,13400,169,70,180,640,5430,6320,19889,332,5727,4153,29,10241,1745,5043,0,-3298,2611,834,11881,12946,0.5,35,14459,10,74.03,
1998,10,26OCT1998,13700,154,91,158,601,5480,6330,20184,337,4335,3972,34,8678,1750,5043,0,-3293,2651,2443,12125,14799,0.41,27,14704,-1,73.92,
1998,10,27OCT1998,14200,150,76,181,515,5320,6092,20442,212,4264,4050,26,8552,1750,5043,0,-3293,2718,2398,12554,15183,0.41,26,15122,0,73.79,
1998,10,28OCT1998,15400,132,70,154,398,5480,6102,21634,316,3709,4165,22,8213,1740,5043,0,-3303,2877,2914,13580,16725,0.36,23,16154,-4,73.62,
1998,10,29OCT1998,14400,104,69,160,369,5660,6258,20762,355,3890,4217,29,8491,1687,229,0,1458,2744,-437,11352,10813,0.39,48,15102,28,73.73,
1998,10,30OCT1998,14700,92,67,159,256,5550,6032,20824,359,3911,4243,27,8540,1689,0,0,1689,2784,-822,11535,10595,0.39,49,15274,31,73.85,
1998,10,31OCT1998,14400,86,67,164,103,5250,5584,20070,354,3549,4234,24,8161,1690,0,0,1690,2744,-931,11269,10219,0.39,49,14820,31,73.98,
1998,11,01NOV1998,13900,74,67,169,33,4540,4809,18783,339,5645,4224,0,10207,1690,0,0,1690,2678,-3819,10823,6886,0.52,63,14243,52,74.37,
1998,11,02NOV1998,14300,20,69,655,93,4310,5127,19447,340,4482,4215,0,9037,1700,0,0,1700,2731,-2284,11113,8710,0.45,55,15137,42,74.58,
1998,11,03NOV1998,14100,30,74,428,80,4310,4892,19022,330,3429,4227,0,7986,1700,0,0,1700,2704,-1494,10950,9336,0.4,51,14712,37,74.73,
1998,11,04NOV1998,13200,92,72,306,143,4300,4821,18113,327,2484,4218,28,7058,1700,0,0,1700,2585,-757,10231,9355,0.37,48,13813,32,74.88,
1998,11,05NOV1998,13200,100,69,298,85,4160,4612,17912,341,2996,4318,23,7678,1700,0,0,1700,2585,-1586,10239,8534,0.41,52,13752,38,75.07,
1998,11,06NOV1998,13200,86,69,292,43,4000,4404,17690,292,3019,4144,22,7477,1700,0,0,1700,2585,-1593,10225,8513,0.4,52,13690,38,75.26,
1998,11,07NOV1998,13200,73,84,306,43,3920,4353,17626,331,3611,4142,24,8108,1700,2063,0,-363,2585,-934,10790,9881,0.44,44,13706,28,75.34,
1998,11,08NOV1998,14500,63,116,306,44,3740,4206,18769,322,4512,4141,17,8992,1650,2751,0,-1101,2758,-1313,12114,10878,0.46,42,15029,28,75.36,
1998,11,09NOV1998,15100,58,133,298,44,3470,3945,19103,308,2574,4117,28,7028,1700,2751,0,-1051,2837,438,12615,13126,0.35,31,15633,16,75.25,
1998,11,10NOV1998,15800,55,103,293,44,3330,3770,19625,316,1975,4234,21,6546,1650,2980,0,-1330,2930,1019,13297,14409,0.32,27,16295,12,75.08,
1998,11,11NOV1998,16600,51,99,297,44,3270,3710,20361,324,2569,4216,21,7130,1650,2980,0,-1330,3037,482,13987,14561,0.33,28,17091,15,74.92,
1998,11,12NOV1998,16800,53,101,291,43,3180,3615,20468,271,2007,4128,22,6429,1650,917,0,733,3063,-227,13584,13306,0.3,35,17288,23,74.83,
1998,11,13NOV1998,17100,58,96,291,43,3070,3500,20658,298,2317,4122,26,6762,1650,229,0,1421,3103,-1082,13657,12475,0.31,40,17588,29,74.78,
1998,11,14NOV1998,17200,60,87,287,42,2990,3406,20666,320,1912,3643,22,5897,1650,229,0,1421,3117,-298,13746,13348,0.27,35,17676,24,74.7,
1998,11,15NOV1998,17400,38,83,286,41,2930,3340,20778,329,1571,2795,21,4715,1700,0,0,1700,3143,663,13819,14363,0.21,31,17848,20,74.57,
1998,11,16NOV1998,18000,87,81,287,41,2880,3289,21376,278,874,1940,23,3115,1700,0,0,1700,3223,2292,14388,16561,0.13,23,18496,10,74.35,
1998,11,17NOV1998,18600,85,83,285,41,2840,3249,21934,304,767,1049,20,2140,1700,229,0,1471,3303,3456,14970,18324,0.08,16,19867,8,74.08,
1998,11,18NOV1998,19200,61,97,286,41,2840,3264,22525,319,1028,227,25,1599,1700,229,0,1471,3383,4091,15467,19455,0.06,14,20458,5,73.79,
1998,11,19NOV1998,19800,73,109,287,42,2840,3278,23151,289,1587,0,29,1905,1700,229,0,1471,3462,3879,15999,19775,0.07,15,21084,6,73.5,
1998,11,20NOV1998,22400,48,91,285,55,2850,3281,25729,307,1610,0,34,1951,1750,229,0,1521,3808,4150,18214,22258,0.06,13,23648,6,73.16,
1998,11,21NOV1998,23500,50,86,282,66,2840,3274,26824,312,1378,0,33,1723,1750,229,0,1521,3955,4517,19170,23580,0.05,12,24750,5,72.79,
1998,11,22NOV1998,24200,50,94,284,67,2890,3335,27585,318,1735,0,32,2085,1750,458,0,1292,4048,4458,19841,24208,0.06,12,25513,5,72.43,
1998,11,23NOV1998,24400,50,133,296,67,2910,3406,27856,308,890,0,40,1238,1750,5043,0,-3293,4074,8382,21298,29911,0.03,-7,28001,-7,71.95,
1998,11,24NOV1998,28500,63,202,292,68,2900,3462,32025,190,0,0,36,226,1750,5043,0,-3293,4620,9996,24866,35092,0.0,-10,33182,-6,71.39,
1998,11,25NOV1998,31900,1195,241,286,67,2900,3494,36589,105,0,0,31,136,1800,5043,0,-3243,5072,10537,28931,39696,0.0,-8,37815,-5,70.79,
1998,11,26NOV1998,34600,1160,152,284,66,2870,3372,39132,106,1496,0,31,1633,1800,5043,0,-3243,5431,9278,31237,40742,0.04,-4,38861,-5,70.2,
1998,11,27NOV1998,33900,1130,131,301,65,2870,3367,38397,102,1545,0,35,1683,1850,8023,0,-6173,5338,11034,31421,42887,0.04,-12,39307,-9,69.61,
1998,11,28NOV1998,33400,1109,166,307,74,2920,3467,37976,103,2586,0,30,2718,1900,3897,0,-1997,5271,7318,29797,37255,0.07,2,36378,-2,69.14,
1998,11,29NOV1998,34800,50,149,293,97,2910,3449,38299,103,2848,0,38,2989,1900,4585,0,-2685,5457,7663,30144,37995,0.07,1,36810,-3,68.69,
1998,11,30NOV1998,34800,67,215,324,167,2910,3616,38483,105,2288,0,31,2424,1950,7565,0,-5615,5457,10299,30982,41673,0.06,-8,38417,-8,68.2,
1998,12,01DEC1998,37200,1355,757,307,286,3030,4380,42935,99,1316,0,32,1447,2000,7565,0,-5565,5777,12326,34336,47052,0.03,-10,43825,-7,67.66,
1998,12,02DEC1998,43300,1955,374,288,562,3150,4374,49629,97,1736,0,30,1863,2000,4126,0,-2126,6588,10481,39262,49892,0.03,-1,48659,-3,67.12,
1998,12,03DEC1998,49400,2173,309,298,637,3100,4344,55917,103,1880,0,30,2013,2000,4814,0,-2814,7399,11559,44962,56718,0.03,-1,55086,-3,66.52,
1998,12,04DEC1998,54700,2010,525,297,723,3240,4785,61495,95,1991,0,35,2121,2050,4126,0,-2076,8104,12118,49187,61450,0.03,0,60246,-2,65.9,
1998,12,05DEC1998,58300,1815,329,424,760,3700,5213,65328,98,1999,0,31,2128,2100,1834,0,266,8583,11495,51458,62934,0.03,4,63088,0,65.3,
1998,12,06DEC1998,60700,1610,267,455,774,4100,5596,67906,97,1998,0,30,2125,2100,1834,0,266,8902,12200,53333,65515,0.03,4,65669,0,64.7,
1998,12,07DEC1998,61900,1520,233,457,784,4300,5774,69194,96,1993,0,38,2127,2150,1834,0,316,9062,12503,54270,66751,0.03,4,66934,0,64.13,
1998,12,08DEC1998,62300,1720,202,463,792,4520,5977,69997,97,2001,0,41,2139,2150,688,0,1462,9115,12003,54496,66396,0.03,5,67244,1,63.59,
1998,12,09DEC1998,61900,1680,203,528,772,4520,6023,69603,98,1992,0,42,2131,2150,688,0,1462,9062,12003,54109,66009,0.03,5,66857,1,63.09,
1998,12,10DEC1998,60700,1220,189,540,701,4620,6050,67970,96,1908,0,49,2054,2200,0,0,2200,8902,11468,52402,63716,0.03,6,64992,2,62.64,
1998,12,11DEC1998,59400,60,175,542,707,4940,6364,65824,209,1787,0,42,2038,2200,0,0,2200,8729,11625,50115,61586,0.03,6,62862,2,62.23,
1998,12,12DEC1998,57600,60,166,544,713,5230,6653,64313,296,1908,0,37,2241,2200,0,0,2200,8490,11472,48554,59872,0.03,7,61148,2,61.86,
1998,12,13DEC1998,55700,60,161,548,714,5260,6683,62443,265,1952,0,39,2256,2200,458,0,1742,8237,11532,47035,58445,0.03,6,59455,2,61.53,
1998,12,14DEC1998,54200,45,188,549,734,5160,6631,60876,300,1986,0,47,2333,2200,458,0,1742,8038,11204,45720,56801,0.03,7,57812,2,61.24,
1998,12,15DEC1998,53100,40,207,549,746,5100,6602,59742,297,1993,0,51,2341,2200,458,0,1742,7891,11020,44761,55659,0.03,7,56669,2,60.97,
1998,12,16DEC1998,51900,60,183,550,740,5120,6593,58553,299,2046,0,46,2391,2200,458,0,1742,7732,10802,43741,54420,0.03,7,55431,2,60.74,
1998,12,17DEC1998,49300,55,178,551,737,5230,6696,56051,300,3619,0,52,3972,2200,458,0,1742,7386,8978,41481,50338,0.06,10,52390,4,60.57,
1998,12,18DEC1998,45300,50,184,551,732,5160,6627,51977,291,4674,0,56,5021,2150,0,0,2150,6854,7062,37894,44806,0.09,14,46817,4,60.48,
1998,12,19DEC1998,42100,57,182,548,728,4900,6358,48515,288,2814,0,46,3149,2150,0,0,2150,6428,8240,35127,43216,0.06,11,45008,4,60.42,
1998,12,20DEC1998,40000,45,175,551,722,4620,6068,46113,289,1301,0,48,1638,2150,0,0,2150,6149,9181,33294,42325,0.03,8,43572,3,60.38,
1998,12,21DEC1998,38400,45,170,551,715,4640,6076,44521,241,1309,440,56,2046,2100,0,0,2100,5936,8601,31921,40375,0.04,9,41593,3,60.37,
1998,12,22DEC1998,36300,45,134,551,693,5100,6478,42823,176,463,292,54,985,2100,0,0,2100,5657,9785,30100,39738,0.02,7,40956,3,60.37,
1998,12,23DEC1998,34000,84,138,552,700,5050,6440,40524,114,3180,0,56,3350,2050,0,0,2050,5351,7109,28159,35124,0.08,13,36934,5,60.45,
1998,12,24DEC1998,31500,50,143,549,694,4840,6226,37776,144,3167,0,49,3360,2050,0,0,2050,5019,6552,25957,32366,0.08,14,34323,6,60.58,
1998,12,25DEC1998,29000,50,162,549,691,4050,5452,34502,255,2216,0,49,2520,2000,0,0,2000,4686,6318,23804,29982,0.06,13,31570,5,60.75,
1998,12,26DEC1998,26900,50,154,550,689,3780,5173,32123,254,822,0,44,1121,2000,0,0,2000,4407,7159,21983,29002,0.03,10,30162,4,60.93,
1998,12,27DEC1998,25600,50,148,548,685,3680,5061,30711,251,2715,0,52,3018,1950,0,0,1950,4234,5009,20870,25743,0.09,16,27031,5,61.18,
1998,12,28DEC1998,24900,50,143,549,679,3580,4951,29901,252,1832,0,59,2143,1950,0,0,1950,4141,5681,20263,25808,0.06,14,27282,5,61.42,
1998,12,29DEC1998,24200,47,138,546,669,3550,4903,29150,250,1989,0,65,2304,1900,0,0,1900,4048,5412,19667,24946,0.07,14,26558,6,61.66,
1998,12,30DEC1998,23400,50,135,545,665,3520,4865,28315,268,1698,303,46,2315,1850,0,0,1850,3941,5288,18991,24150,0.07,15,25750,6,61.91,
1998,12,31DEC1998,22400,50,135,547,659,3470,4811,27261,108,1961,0,47,2116,1800,0,0,1800,3808,5333,18138,23345,0.07,14,24736,6,62.17,
1999,1,01JAN1999,21600,50,139,550,648,3480,4817,26467,169,1992,0,48,2209,1700,0,0,1700,3702,5205,17472,22558,0.08,15,23950,6,62.44,
1999,1,02JAN1999,21000,43,137,551,643,3440,4771,25814,169,2011,0,50,2230,1650,0,0,1650,3622,5091,16959,21934,0.08,15,23331,6,62.71,
1999,1,03JAN1999,20900,40,131,549,638,3390,4708,25648,170,1995,0,46,2212,1600,0,0,1600,3609,5065,16883,21836,0.08,15,23205,6,62.97,
1999,1,04JAN1999,20600,45,128,548,630,3370,4676,25321,170,1153,0,46,1369,1550,0,0,1550,3569,5868,16642,22402,0.05,12,23301,4,63.19,
1999,1,05JAN1999,20500,50,125,549,628,3340,4642,25192,168,935,0,48,1152,1500,0,0,1500,3556,6071,16574,22540,0.04,11,23410,4,63.41,
1999,1,06JAN1999,20200,50,122,551,622,3280,4575,24825,146,271,1470,59,1946,1450,0,0,1450,3516,5202,16328,21429,0.07,14,22476,5,63.64,
1999,1,07JAN1999,20100,50,122,550,472,3130,4274,24424,87,115,2048,49,2299,1450,0,0,1450,3502,4535,16242,20675,0.09,15,22172,7,63.88,
1999,1,08JAN1999,19700,55,121,545,183,2930,3779,23534,92,193,2019,49,2353,1450,0,0,1450,3449,3932,15900,19731,0.09,16,20604,4,64.14,
1999,1,09JAN1999,19200,60,118,544,146,2760,3568,22828,93,30,1977,52,2152,1350,0,0,1350,3383,3921,15499,19326,0.09,15,20832,7,64.4,
1999,1,10JAN1999,18400,48,115,547,123,2730,3515,21963,91,204,1977,46,2318,1300,0,0,1300,3276,3629,14808,18345,0.1,16,19233,5,64.68,
1999,1,11JAN1999,18000,37,114,550,115,2750,3529,21566,87,208,1984,52,2331,1300,0,0,1300,3223,3576,14450,17935,0.1,17,18816,5,64.96,
1999,1,12JAN1999,17900,35,112,549,111,2750,3522,21457,86,203,1963,57,2309,1250,0,0,1250,3210,3610,14375,17898,0.1,17,18707,4,65.22,
1999,1,13JAN1999,17900,43,112,549,113,2730,3504,21447,87,181,3717,58,4042,1250,0,0,1250,3210,1859,14383,16155,0.18,25,18717,14,65.53,
1999,1,14JAN1999,17800,50,110,511,117,2730,3468,21318,95,2579,4435,49,7158,1200,229,0,971,3196,-1125,14382,13189,0.33,38,18588,29,65.96,
1999,1,15JAN1999,17400,52,112,479,122,2740,3453,20905,105,2824,4136,36,7101,1200,3209,0,-2009,3143,802,14871,15814,0.33,24,18165,13,66.25,
1999,1,16JAN1999,17600,55,195,482,130,2790,3597,21252,108,2497,4101,41,6747,1150,3209,0,-2059,3170,1358,15062,16564,0.31,22,18462,10,66.49,
1999,1,17JAN1999,18300,55,297,455,138,3030,3920,22275,96,2496,4073,37,6701,1150,3209,0,-2059,3263,1820,15669,17633,0.29,21,19245,8,66.68,
1999,1,18JAN1999,20100,55,571,484,148,3150,4353,24508,103,2498,4080,33,6714,1100,7565,0,-6465,3502,5343,18463,24259,0.27,1,21358,-14,66.65,
1999,1,19JAN1999,23600,55,3210,490,311,3370,7381,31036,195,2498,4096,48,6838,1100,10545,0,-9445,3968,10650,22332,33642,0.21,-8,30262,-11,66.42,
1999,1,20JAN1999,36400,52,4400,488,1707,3610,10205,46657,253,3003,3928,47,7230,1100,7565,0,-6465,5670,12847,32592,45891,0.15,2,43047,-7,65.99,
1999,1,21JAN1999,56800,50,2660,463,3565,4380,11068,67918,266,2505,3968,36,6776,1050,7794,0,-6744,8383,17059,50355,67886,0.1,0,66083,-3,65.34,
1999,1,22JAN1999,61700,50,1450,455,4552,4950,11407,73157,267,2497,4022,37,6823,1050,7794,0,-6744,9035,18002,54603,73077,0.09,0,70951,-3,64.67,
1999,1,23JAN1999,63100,47,2690,459,3744,6260,13153,76300,273,2492,4023,38,6826,1000,4355,0,-3355,9221,17729,54865,72830,0.09,5,72734,0,64.04,
